ID,filename.x,TYPE,BOX_AND_CODE,STATE,fullest_code,type_branch,rep,cluster,Region,zip_code
Vicky2.b10.360.F7B.mzXML.Peak.area,Vicky2-b10-360-F7B.mzXML,isolate,360-F7,MO,Vicky2-b10-360-F7B,branch_x,b,clu6_6,Central,64015
Vicky2.b11.387.C3A.mzXML.Peak.area,Vicky2-b11-387-C3A.mzXML,isolate,387-C3,CA,Vicky2-b11-387-C3A,branch_x,a,clu6_6,West,92694
Vicky2.b11.387.C3B.mzXML.Peak.area,Vicky2-b11-387-C3B.mzXML,isolate,387-C3,CA,Vicky2-b11-387-C3B,branch_x,b,clu6_6,West,92694
Vicky2.b12.369.C2A.mzXML.Peak.area,Vicky2-b12-369-C2A.mzXML,isolate,369-C2,TX,Vicky2-b12-369-C2A,branch_x,a,clu6_6,South,75218
Vicky2.b12.369.C2B.mzXML.Peak.area,Vicky2-b12-369-C2B.mzXML,isolate,369-C2,TX,Vicky2-b12-369-C2B,branch_x,b,clu6_6,South,75218
Vicky2.b6.411.C5A.mzXML.Peak.area,Vicky2-b6-411-C5A.mzXML,isolate,411-C5,TN,Vicky2-b6-411-C5A,branch_x,a,clu6_6,Central,37830
Vicky2.b6.411.C5B.mzXML.Peak.area,Vicky2-b6-411-C5B.mzXML,isolate,411-C5,TN,Vicky2-b6-411-C5B,branch_x,b,clu6_6,Central,37830
Vicky2.b8.444.A2A.mzXML.Peak.area,Vicky2-b8-444-A2A.mzXML,isolate,444-A2,MO,Vicky2-b8-444-A2A,branch_x,a,clu6_6,Central,63119
Vicky2.b8.444.A2B.mzXML.Peak.area,Vicky2-b8-444-A2B.mzXML,isolate,444-A2,MO,Vicky2-b8-444-A2B,branch_x,b,clu6_6,Central,63119
Vicky2.c1.361.G5A.mzXML.Peak.area,Vicky2-c1-361-G5A.mzXML,isolate,361-G5,MO,Vicky2-c1-361-G5A,branch_x,a,clu6_2,Central,64064
Vicky2.c1.361.G5B.mzXML.Peak.area,Vicky2-c1-361-G5B.mzXML,isolate,361-G5,MO,Vicky2-c1-361-G5B,branch_x,b,clu6_2,Central,64064
Vicky2.c2.325.E11A.mzXML.Peak.area,Vicky2-c2-325-E11A.mzXML,isolate,325-E11,TX,Vicky2-c2-325-E11A,branch_x,a,clu6_6,South,75218
Vicky2.c2.325.E11B.mzXML.Peak.area,Vicky2-c2-325-E11B.mzXML,isolate,325-E11,TX,Vicky2-c2-325-E11B,branch_x,b,clu6_6,South,75218
Vicky2.c3.286.G9A.mzXML.Peak.area,Vicky2-c3-286-G9A.mzXML,isolate,286-G9,OH,Vicky2-c3-286-G9A,branch_x,a,clu6_2,Central,44621
Vicky2.c3.286.G9B.mzXML.Peak.area,Vicky2-c3-286-G9B.mzXML,isolate,286-G9,OH,Vicky2-c3-286-G9B,branch_x,b,clu6_2,Central,44621
Vicky2.d3.421.A1A.mzXML.Peak.area,Vicky2-d3-421-A1A.mzXML,isolate,421-A1,CA,Vicky2-d3-421-A1A,branch_x,a,clu6_2,West,95380
Vicky2.d3.421.A1B.mzXML.Peak.area,Vicky2-d3-421-A1B.mzXML,isolate,421-A1,CA,Vicky2-d3-421-A1B,branch_x,b,clu6_2,West,95380
Vicky2.d4.421.C11A.mzXML.Peak.area,Vicky2-d4-421-C11A.mzXML,isolate,421-C11,CO,Vicky2-d4-421-C11A,branch_x,a,clu6_6,Southwest,81506
