"x"
"1",295.26822367069
"2",504.439173453547
"3",661.694305794995
"4",785.467231654933
"5",887.217292912752
"6",973.084564715967
"7",1047.21839814507
"8",1112.37918684286
"9",1170.47853784476
"10",1222.88661057984
"11",1270.48642822994
"12",1314.31006224518
"13",1354.80977017008
"14",1392.45269578674
"15",1427.61339686439
"16",1460.59670716934
"17",1491.65401959511
"18",1520.91491805236
"19",1548.7207544877
"20",1575.13738105336
"21",1600.29402875358
"22",1624.30241822612
"23",1647.25977822593
"24",1669.25123682777
"25",1690.2936502954
"26",1710.5717322529
"27",1730.08395153286
"28",1748.88294581579
"29",1767.01589731125
"30",1784.52525952205
"31",1801.44936902921
"32",1817.77771089438
"33",1833.63378436468
"34",1848.99963881465
"35",1863.90161436973
"36",1878.36386515445
"37",1892.40859711001
"38",1906.05627298754
"39",1919.28902837971
"40",1932.19885806349
"41",1944.7641692762
"42",1957
