"x"
"1",383.197967963517
"2",646.970807752095
"3",840.222433484693
"4",989.806172916718
"5",1110.89017129606
"6",1212.3568235681
"7",1299.63149538158
"8",1376.18187841753
"9",1444.32737245719
"10",1505.6869912816
"11",1561.43490553797
"12",1612.45134547533
"13",1659.31856901603
"14",1702.77225534932
"15",1743.13955168416
"16",1780.77380328306
"17",1815.96834565626
"18",1848.96961387117
"19",1879.98678441499
"20",1909.19902609029
"21",1936.76106120817
"22",1962.80750372726
"23",1987.4562912593
"24",2010.81143048632
"25",2032.96521110458
"26",2054
